ID,Instagram_Handle,Link,Followers,Location,Category
1,@teaseats,https://www.instagram.com/teaseats/,33700,Los Angeles,Food
2,@adventureswithgi,https://www.instagram.com/adventureswithgi/,30100,Los Angeles,Food
3,@jill.akemi,https://www.instagram.com/jill.akemi/,27300,Los Angeles,Food
4,@jessie_eats,https://www.instagram.com/jessie_eats/,27000,Los Angeles,Food
5,@takeonefortheroad,https://www.instagram.com/takeonefortheroad/,22200,Los Angeles,Food
6,@dandy.eats,https://www.instagram.com/dandy.eats/,18800,Los Angeles,Food
7,@my_adorkable_adventures,https://www.instagram.com/my_adorkable_adventures/,18400,Los Angeles,Food
8,@tanayas.table,https://www.instagram.com/tanayas.table/,18400,Los Angeles,Food
9,@bunchofgarlic,https://www.instagram.com/bunchofgarlic/,18100,Los Angeles,Food
10,@thefoodiesaur,https://www.instagram.com/thefoodiesaur/,18900,Torrance/OC,Food
11,@lafoodie,https://www.instagram.com/lafoodie/,13600,Los Angeles,Food
12,@aveganandher,https://www.instagram.com/aveganandher/,13600,Los Angeles,Food
13,@itsthenoms,https://www.instagram.com/itsthenoms/,17600,San Jose,Food
14,@nomwiththomas,https://www.instagram.com/nomwiththomas/,17500,LA/OC,Food
15,@hungrywithannie,https://www.instagram.com/hungrywithannie/,17400,LA/OC/626,Food
16,@samcraves,https://www.instagram.com/samcraves/,15100,Los Angeles,Food
17,@thesavorystyle,https://www.instagram.com/thesavorystyle/,13800,South Bay LA,Food
18,@adamfoodstyle,https://www.instagram.com/adamfoodstyle/,24800,Long Beach,Food
19,@chatwithcat,https://www.instagram.com/chatwithcat/,16900,LA/OC/Vegas,Food
20,@lynnstheory,https://www.instagram.com/lynnstheory/,16000,Los Angeles,Food
21,@herstorey,https://www.instagram.com/herstorey/,13300,San Francisco,Food
22,@jessieeats,https://www.instagram.com/jessieeats/,27000,Los Angeles,Food
23,@influencersandiego,https://www.instagram.com/influencersandiego/,15600,San Diego,Food
24,@theregojonboe,https://www.instagram.com/theregojonboe/,22000,San Diego,Food
25,@princesspurpley,https://www.instagram.com/princesspurpley/,14500,San Diego,Food
26,@losangeles4everybody,https://www.instagram.com/losangeles4everybody/,35100,Los Angeles,Food
27,@janeyricacelle,https://www.instagram.com/janeyricacelle/,41900,Los Angeles,Food
28,@foodiecrush,https://www.instagram.com/foodiecrush/,21000,Los Angeles,Food
29,@foodwithzen,https://www.instagram.com/foodwithzen/,49570,Los Angeles,Food
30,@hangryblogger,https://www.instagram.com/hangryblogger/,37540,Los Angeles,Food
